M/N/K,Performance(M),Performance(N),Performance(K),Performance(M)max,Performance(N)max,Performance(K)max
2976,130.752749,72.400008,71.419835,139.184540,84.342613,75.073509
2984,,77.516273,,,90.727356,
2992,,76.062697,74.559294,,81.512634,79.731308
3000,,76.586841,,,82.088959,
3008,132.380794,77.763992,71.021396,138.796326,84.297333,74.639771
3016,,77.273617,,,81.902260,
3024,,77.029547,75.034226,,81.989090,82.759384
3032,,77.164366,,,80.421013,
3040,134.671293,78.350855,71.489153,142.004654,83.453629,76.691498
3048,,78.833381,,,81.936661,
3056,,79.400255,77.643056,,85.347206,90.620110
3064,,77.658630,,,84.423355,
3072,101.172120,77.907707,82.901763,106.483902,81.340675,85.777908
3080,,78.081325,,,84.819794,
3088,,78.068654,71.962674,,83.777145,73.976692
3096,,78.796535,,,83.035545,
3104,133.525416,77.141595,72.377914,137.834198,87.324348,76.707489
3112,,78.103984,,,90.312180,
3120,,78.159419,73.320879,,91.360512,78.471313
3128,,78.056162,,,85.285500,
3136,134.551926,77.185406,70.368256,141.086990,82.267593,73.659027
3144,,78.557290,,,82.334557,
3152,,78.040943,73.795858,,82.320663,76.342285
3160,,78.577666,,,82.145462,
3168,130.737092,78.497221,71.642676,140.913025,85.997162,77.502869
3176,,76.605873,,,83.237991,
3184,,78.297910,76.676529,,83.178307,81.775108
3192,,78.941142,,,87.211578,
3200,118.615757,76.366833,70.691807,130.705994,83.456299,74.399933
3208,,78.125389,,,82.549843,
3216,,77.346416,73.909362,,81.308647,79.522743
3224,,80.178381,,,87.053764,
3232,136.589881,77.028696,70.804091,141.547653,84.265266,73.644524
3240,,78.760983,,,85.678215,
3248,,78.461819,74.881576,,82.235680,77.256729
3256,,79.167943,,,84.391029,
3264,137.508424,78.578836,72.469180,142.197067,85.491692,77.568367
3272,,77.628024,,,84.821877,
3280,,78.826173,75.454917,,81.323364,78.659653
3288,,77.441671,,,82.914391,
3296,135.020452,78.370405,73.549625,143.098938,87.158348,76.837524
3304,,78.074149,,,85.347160,
3312,,78.568066,75.979276,,81.122856,80.025597
3320,,76.293272,,,82.759155,
3328,112.876731,77.795191,68.487473,127.522194,82.085785,71.989975
3336,,79.068188,,,86.295418,
3344,,79.275219,72.581797,,83.778664,76.423088
3352,,79.333670,,,85.310760,
3360,135.589126,78.550341,72.058514,142.281952,84.653938,74.179512
3368,,78.900418,,,85.478348,
3376,,76.995791,73.534958,,82.395828,77.069550
3384,,78.128539,,,81.200096,
3392,135.638950,76.095450,69.431462,141.815811,80.860535,71.349731
3400,,76.771340,,,80.972725,
3408,,78.652974,71.973119,,84.121712,75.866867
3416,,77.897101,,,82.293365,
3424,135.414075,78.750374,71.132833,142.291229,84.663925,74.546913
3432,,78.519385,,,84.618790,
3440,,78.303643,74.467431,,84.582855,80.633766
3448,,78.764147,,,85.349678,
3456,118.335090,77.747872,71.224732,126.791779,83.573738,73.661003
3464,,78.182279,,,80.449760,
3472,,78.295390,72.583884,,81.891251,77.496056
3480,,80.486393,,,90.359558,
3488,132.151124,76.207902,71.745906,140.451157,79.982506,76.997536
3496,,79.538258,,,86.066643,
3504,,78.479237,74.701485,,81.188156,78.993210
3512,,78.527413,,,84.385857,
3520,131.502112,76.314640,71.706244,138.945312,84.438385,74.464874
3528,,79.778032,,,84.858902,
3536,,78.926729,76.269234,,84.767029,82.344101
3544,,79.387387,,,84.842033,
3552,131.858860,76.988056,73.545145,136.544083,82.856316,78.169052
3560,,79.256998,,,81.877960,
3568,,79.121483,76.413568,,84.687630,80.110222
3576,,77.561280,,,85.486099,
3584,101.173653,77.631681,74.766169,109.906944,88.336334,79.695862
3592,,80.874164,,,84.581924,
3600,,80.510797,80.018317,,89.108017,83.965271
3608,,78.907746,,,84.291473,
3616,134.348584,73.856891,86.095393,140.354538,76.552498,91.475121
3624,,78.258057,,,83.391701,
3632,,78.452981,86.430422,,80.940208,89.664864
3640,,80.878599,,,88.907227,
3648,132.908726,77.015684,84.911922,138.242996,83.228195,87.311607
3656,,79.064143,,,85.455933,
3664,,79.631368,87.446282,,86.059639,92.832397
3672,,79.294533,,,85.567932,
3680,133.422718,76.777858,83.682573,139.546677,80.899239,85.976784
3688,,78.244989,,,81.046165,
3696,,78.793136,85.543802,,82.134048,93.639557
3704,,79.798423,,,85.892685,
3712,123.743799,75.796188,81.160162,130.980270,82.301239,84.203178
3720,,78.042647,,,81.328796,
3728,,78.119186,83.588386,,81.420288,86.593079
3736,,79.225082,,,88.399338,
3744,133.711304,78.491070,83.944141,138.804382,83.837166,86.765327
3752,,78.759468,,,81.993980,
3760,,79.456402,87.129342,,85.069313,92.513565
3768,,79.220319,,,87.947159,
3776,135.477310,77.276384,82.059986,143.427994,82.745422,92.977364
3784,,77.976207,,,84.775322,
