xxx 8 16 24 32 40 48 56 64 72 80 88 96 104 112 120 128 136 144 152 160 168 176 184 192 200 208 216 224 232 240 248 256
96 7.858385 10.529202 20.801733 26.523914 32.548504 29.268291 34.467999 30.016121 36.281784 32.034702 30.435356 23.967543 30.620056 27.409693 30.406290 22.145329 20.747581 25.433271 31.355932 30.246937 31.126928 27.319469 23.228460 22.655424 25.910933 25.555117 25.597746 22.601530 20.486517 14.522351 30.354551 34.410530
104 10.954576 20.807802 30.701107 20.500185 29.243147 23.537178 32.712318 27.960512 33.051361 29.252514 32.813118 24.653070 26.599485 21.524134 36.331879 33.976521 33.505810 23.436985 26.600534 40.669678 38.187782 39.826801 37.866375 28.159639 29.498636 32.227402 27.470892 32.691555 21.161322 26.858637 27.458450 23.315731
112 11.724679 20.403051 21.753908 26.808289 35.516403 29.889914 35.660328 21.021761 27.145708 15.606493 27.147596 25.113869 26.718830 30.123434 33.145393 28.036690 33.184441 26.635838 25.199532 26.611624 17.977440 24.867226 22.511683 28.453100 33.891251 36.895203 34.110531 37.155296 30.269373 33.772240 27.923468 40.854946
120 15.750615 23.460411 39.771317 30.848330 39.040260 34.056644 41.271206 32.535477 28.358442 25.997236 28.793419 26.370005 28.074772 24.630722 28.386148 30.313196 35.454483 33.138363 31.132498 16.736839 26.477592 34.321930 32.149078 18.959997 26.131737 34.452774 29.526806 34.356709 32.494255 33.627575 24.017324 26.554638
128 10.907541 18.204445 30.062828 24.892130 31.666840 26.827351 32.148376 27.611313 26.190046 23.836126 25.598475 24.091757 23.906912 23.398838 24.360552 31.534374 31.146711 34.761616 32.985096 33.455307 31.443272 29.736010 27.812147 26.211605 25.143442 27.177608 27.465170 29.584078 21.730778 23.841862 19.449858 28.264601
136 14.508600 22.711617 34.017540 27.504265 34.316956 25.230936 29.791895 15.835820 26.496670 24.723902 27.101595 24.633963 15.789077 12.107531 20.932377 36.804161 36.428200 36.556412 35.559010 37.856644 35.935143 38.597267 26.028431 27.749496 28.844114 30.363661 23.368290 31.654198 39.052406 42.714684 33.797253 33.221691
144 11.266503 16.933706 35.816441 24.806202 35.326588 30.150492 36.012119 24.824242 28.368631 24.861877 27.858130 33.464054 36.652412 33.817703 32.811485 33.344791 29.700232 34.422310 26.709780 31.862814 29.992950 33.117722 35.420967 39.198673 35.311337 27.427065 28.963121 29.178539 35.954662 31.550407 36.336372 33.563683
152 12.940300 17.140038 29.122957 14.113277 17.146349 14.258355 26.279652 22.727909 28.771051 24.832037 20.473227 26.653027 28.753027 26.248920 28.532591 22.756886 28.849554 37.403877 32.790852 37.711861 34.991577 34.538765 33.131107 35.054173 32.037167 34.166901 31.503361 29.853836 24.100389 23.073275 37.727673 34.545761
160 16.926739 25.000000 41.928719 32.030029 39.363083 25.658157 29.571709 25.926022 28.965832 25.769564 28.506586 25.182394 26.932175 25.365910 23.131041 24.461910 21.451532 19.553926 20.852413 22.848576 24.654934 26.449759 37.329395 39.179676 36.950848 35.574558 26.624908 26.778645 25.374302 24.887230 27.698357 26.361519
168 20.201414 30.434782 47.414097 36.324326 46.650471 41.372940 43.580853 42.913589 47.918457 27.608309 30.523983 29.168247 43.362114 45.807770 41.734215 46.217331 41.602882 27.341465 27.943829 29.741421 25.599285 27.422974 31.831411 30.447134 32.021938 29.652006 17.723812 24.576000 43.611771 39.441250 41.951645 41.453896
