M/N/K,Performance(M),Performance(N),Performance(K),Performance(M)max,Performance(N)max,Performance(K)max
1560,,39.874931,,,79.118279,
1568,71.462272,21.327605,41.646956,106.203758,39.260693,60.049576
1576,,43.728669,,,83.942741,
1584,,51.181202,52.111249,,120.423302,105.611000
1592,,45.634895,,,99.419312,
1600,60.548147,30.681811,34.379860,104.244904,88.550293,60.776562
1608,,60.080041,,,102.342697,
1616,,44.506286,60.977129,,77.450745,113.103699
1624,,56.861466,,,104.152367,
1632,49.654393,36.985390,49.651874,66.685577,75.009827,111.531952
1640,,41.995497,,,74.898445,
1648,,47.273403,35.445275,,92.221855,60.459473
1656,,45.194551,,,76.155663,
1664,64.092700,28.593455,64.099348,90.907982,67.715073,98.118858
1672,,50.150485,,,95.187759,
1680,,45.561276,49.486927,,92.969795,93.608185
1688,,46.442601,,,98.477921,
1696,62.053787,40.239376,52.040021,107.299805,95.376968,112.309738
1704,,43.876124,,,74.370407,
1712,,52.729847,48.293081,,93.412552,74.929688
1720,,42.994771,,,71.213203,
1728,51.333090,29.615590,54.983568,97.198448,85.202499,97.516502
1736,,41.294324,,,63.181007,
1744,,57.802483,44.772129,,85.307861,65.731583
1752,,58.168499,,,105.401024,
1760,57.242597,36.631433,41.858379,82.480553,77.770317,85.684677
1768,,50.102640,,,102.550102,
1776,,57.582310,64.586113,,100.028183,107.006088
1784,,45.599215,,,73.529892,
1792,70.180390,29.663279,51.505132,99.413994,71.390869,105.052101
1800,,58.663778,,,104.206909,
1808,,57.698859,65.658748,,99.201309,114.467171
1816,,59.190136,,,102.262924,
1824,62.344685,32.238930,43.886122,108.307526,97.971519,116.236755
1832,,55.401341,,,104.478477,
1840,,52.952122,47.163922,,98.884109,85.367355
1848,,50.126350,,,103.634705,
1856,58.537604,43.917110,47.359470,105.959259,89.461952,84.382370
1864,,56.898018,,,87.028435,
1872,,54.188212,48.693008,,95.664795,99.550262
1880,,64.251576,,,96.756721,
1888,63.197701,42.886262,53.470701,109.954216,101.049957,105.537048
1896,,52.956422,,,92.238197,
1904,,52.689809,50.475472,,99.324814,94.696053
1912,,60.952386,,,98.340897,
1920,57.841135,35.282649,39.671036,106.561958,74.107018,100.068405
1928,,54.626399,,,98.073647,
1936,,59.111151,59.107293,,89.315392,103.345474
1944,,47.212976,,,69.989502,
1952,69.118090,32.945616,52.996465,105.707108,70.670326,106.772186
1960,,62.850766,,,102.467049,
1968,,58.771191,58.938676,,104.219147,95.979881
1976,,66.280196,,,105.404785,
1984,64.192098,44.394771,57.467502,107.036125,100.006699,109.613968
1992,,53.076836,,,92.379097,
2000,,59.259574,59.559526,,93.443924,109.040108
2008,,61.810888,,,99.915138,
2016,70.562998,46.278642,58.693197,110.885895,101.395103,106.719162
2024,,52.880454,,,95.151878,
2032,,57.253682,59.602835,,101.717628,111.865639
2040,,51.236425,,,96.524300,
2048,41.258881,32.935149,49.631512,72.011742,94.609329,78.029381
2056,,51.199548,,,83.758842,
2064,,57.561923,83.819556,,84.195641,119.582275
2072,,61.694050,,,89.356850,
2080,46.346005,54.302795,88.901055,59.175903,97.921593,105.729034
2088,,63.222675,,,90.726105,
2096,,64.403657,75.736052,,100.902794,124.385788
2104,,63.822412,,,100.389053,
2112,53.334496,53.646353,67.499944,90.538116,97.645515,104.412758
2120,,57.818535,,,102.901283,
2128,,66.219778,74.490636,,102.570404,127.040802
2136,,57.691597,,,90.589050,
2144,50.585072,62.032623,80.435957,90.272552,93.137985,117.576065
2152,,54.172055,,,73.405067,
2160,,61.673883,86.292743,,97.832947,105.247688
2168,,59.824096,,,97.378761,
2176,65.452843,52.805729,93.552778,113.732658,80.951561,122.740807
2184,,64.276892,,,95.665253,
2192,,61.130422,88.026758,,97.410568,106.144920
2200,,64.975767,,,104.760361,
2208,59.175095,58.247037,86.027290,89.362488,101.009300,128.639572
2216,,54.278291,,,78.087097,
2224,,53.880230,87.386484,,73.032547,123.793709
